name,latitud,longitud,category
Williamsburg Northside Preschool,40.7165696587607,-73.95866428835357,Preschool
Smiling Faces Christian Day Care,40.693304,-73.970705,Preschool
The Dumbo Gan,40.70378,-73.98507,Preschool
La Petite Colline,40.68864440917969,-73.9686279296875,Preschool
Lango—Foreign Languages for Kids,40.683469384529104,-73.98171901702881,Preschool
Brooklyn Preschool Of Science,40.6866703610852,-73.99192422962328,Preschool
williamsburg montessori,40.708884999999995,-73.96882,Preschool
Petits Poussins Brooklyn,40.6899456,-73.98504659999999,Preschool
MUSE Academy,40.686085,-73.977549,Preschool
Preschool Of America,40.712042,-73.994511,Preschool
Rivendell School,40.677481630378345,-73.98595641973749,Preschool
Elements Preschool Kindergarten New York,40.71879196166992,-73.98645782470703,Preschool
C'E Montessori,40.71289825439453,-73.9628677368164,Preschool
Kiddie Academy,40.709039,-73.957795,Preschool
Who's on First,40.680699,-73.99922600000001,Preschool
Park Slope Montessori,40.674583435058594,-73.97642517089844,Preschool
Park Slope KinderCare,40.6745067,-73.9761374,Preschool
BKid Brooklyn,40.6790811,-73.9620458,Preschool
Huggs Day School,40.67426681518555,-73.97672271728516,Preschool
Love A Lot Preschool,40.71879196166992,-73.98645782470703,Preschool
Sunny Skies Preschool,40.6762153,-73.96379769999999,Preschool
New York Plaza KinderCare,40.7028204,-74.0107774,Preschool
JCC Brooklyn / Kings Bay Y,40.713504791259766,-73.95732879638672,Preschool
FasTracKids / Eye Level Learning Center,40.67989,-73.98177,Preschool
Pine Street School,40.70708084106445,-74.00957489013672,Preschool
Escuela Hispana Montessori,40.721176,-73.984572,Preschool
Bright Horizons Backup Care,40.707725524902344,-74.00984954833984,Preschool
CBE Early Childhood Center,40.67090335583314,-73.9745379335124,Preschool
Sky Is The Limit Inc.,40.6905665,-73.9469348,Preschool
Ecare Careers,40.7028885,-74.0138771,Preschool
Gold Material Montessori School,40.722832000000004,-73.982587,Preschool
The Learning Experience - Clinton Hill,40.68833,-73.95765,Preschool
Ms. Lam Montessori,40.719024,-73.958356,Preschool
Bright Horizons in 90 Washington on West Street,40.70808107301849,-74.0149106830358,Preschool
Kiddie Academy of Williamsburg,40.7090049,-73.9581834,Preschool
Tribeca KinderCare,40.71657409890642,-74.01050136441802,Preschool
Giocare Preschool,40.66555,-73.98946,Preschool
Bright Horizons at 20 Pine,40.70775758563917,-74.00972047451432,Preschool
FasTracKids / Evolution Enrichment Center,40.7199368,-73.99177209999999,Preschool
Preschool of the Arts at Cooper Square,40.72845435698022,-73.99064406752586,Preschool
Bright Horizons at Kent Avenue,40.71829397210411,-73.96373962595271,Preschool
Educove,40.7181492,-74.0137623,Preschool
Katmint Early Learning Initiative,40.68868637084961,-73.93765258789062,Preschool
The Katmint LLC,40.68850979106991,-73.93761341740186,Preschool
Sunflower Child Care,40.67438878644013,-73.99781105012212,Preschool
Francis of Paola ELC,40.715540000000004,-73.943451,Preschool
brooklyn treehouse,40.66383588774515,-73.99209065704919,Preschool
14th Street Y Preschool,40.73141098022461,-73.98320007324219,Preschool
Smarter Toddler Nursery & Preschool,40.720242012747796,-73.96306854341259,Preschool
Kiddie Academy of Tribeca,40.7153357,-74.0068135,Preschool
DUMBO House,40.70370558351414,-73.99208063277695,Club House
Clover Club,40.6845495098338,-73.99198070888959,Cocktail Bar
Ludlow House,40.72043887554965,-73.98816788618679,Club House
The 40/40 CLUB by Tanduay Rum,40.683167791886426,-73.97625977583999,Nightclub
The Wing SoHo,40.72172530215573,-74.00083973298351,Club House
Black Flamingo,40.71059345084199,-73.95423488401335,Nightclub
Friends and Lovers,40.67862958765238,-73.95871240276702,Nightclub
Basquiat's Bottle,40.68052683711768,-73.95263170515346,Nightclub
The Blond,40.71924234753701,-74.00006632090165,Nightclub
TBA Brooklyn,40.71111107469506,-73.96643518688612,Nightclub
Verboten,40.721950413184004,-73.95888266191815,Nightclub
The Bell House,40.673703858503,-73.99169824616679,Rock Club
Nublu 151,40.725606016301924,-73.97797824808106,Nightclub
Bembe,40.71111779977869,-73.96524678477205,Nightclub
Bossa Nova Civic Club,40.69787567776153,-73.92790887803375,Bar
House of Yes,40.70677660225685,-73.9237041090557,Nightclub
The Box,40.72183514522036,-73.99200009718089,Nightclub
Blueprint,40.67683673413956,-73.98022457561854,Cocktail Bar
Good Room,40.726930160787276,-73.95297436245761,Nightclub
The Wing,40.73874360674251,-73.98852879978713,Club House
The Honorable William Wall,40.701590433674056,-74.0364607077861,Boat or Ferry
FlashDancers Downtown,40.71435,-74.0098,Nightclub
Mo's Fort Greene,40.687086786502725,-73.97468663141946,Nightclub
Bedlam,40.72186578600761,-73.98048518308426,Nightclub
Salmagundi Club,40.7342655345608,-73.99437137091088,Art Gallery
11th Street Bar,40.72815492207737,-73.98124327406705,Bar
Mehanata Bulgarian Bar,40.71945037628919,-73.98880761858857,Nightclub
Public Arts,40.72294781563586,-73.99172649617472,Nightclub
<3 The Loves' Shack <3,40.69960227974657,-73.92285017425229,Nightclub
Fanelli Café,40.724607,-73.998751,American Restaurant
The Buzz Nightclub,40.66355048728836,-73.95863448433171,Nightclub
Members Only,40.707341,-73.930959,Nightclub
The Grey Dog - Nolita,40.723051463267026,-73.99579507955971,Café
Sidecar,40.665320568149035,-73.98956313632414,American Restaurant
Home Sweet Home,40.71949710621366,-73.99328925178263,Nightclub
Webster Hall,40.73169799836348,-73.98922693741638,Music Venue
The Malt House FiDi,40.7094042310673,-74.00984190111932,Bar
Jupiter Disco,40.70812936756463,-73.92349496109902,Nightclub
Sugarhill Supper Club,40.6916789781193,-73.95176036844492,Nightclub
Le Poisson Rouge,40.72849014927854,-73.99995206555748,Rock Club
Marshall Stack,40.72062326221096,-73.98974136854692,Pub
Club Langston,40.67964926693372,-73.95562370133405,Nightclub
The Grey Dog - Union Square,40.7337008382065,-73.9929741495884,Café
The Grey Dog - West Village,40.7299318602736,-74.00401030816786,American Restaurant
Schimanski,40.72217447676173,-73.95886689054103,Nightclub
Public Records,40.68222770266033,-73.9866228680318,Music Venue
Café Select,40.721610106927905,-73.99754935696119,Swiss Restaurant
La Linea,40.72355,-73.988554,Nightclub
Weather Up,40.67997399383786,-73.96801421863265,Cocktail Bar
The DL,40.71875996608499,-73.98907996954928,Nightclub
New Bell Car Service,40.69371727,-73.96025,Taxi
New York Helicopter,40.70166130741539,-74.0092788904697,General Travel
Us Helicopter,40.702437069656874,-74.0131224765933,Airport Terminal
Priority One Jets,40.709287775,-74.00682172500001,Plane
Mobil Car Service,40.711238861083984,-73.95133972167969,Taxi Stand
Eastern Car Service,40.665421477447644,-73.98895025253296,Taxi
Corporate Express Travel,40.72242903386563,-74.00240421295166,Travel Agency
Legends Limousine & Car Service,40.682118808593735,-73.98023843765259,Transportation Service
Pratt Car Service,40.688185494217336,-73.9535445137851,Taxi
Northside Car Service,40.716978,-73.958776,Taxi
Lower East Side Car Service,40.726151,-73.977334,Taxi
"NYC Lucky Limo, Inc.",40.70585566774556,-74.00643825531006,Rental Car Location
100 Gold Street,40.710384113506215,-74.00415730375785,Government Building
NYC Airport Limo,40.712361897055914,-74.01034623384476,Transportation Service
America United Car & Limo Service,40.7230779208348,-73.9503989552724,Taxi
Bus Charter Rental,40.720756,-73.99605799999999,Transportation Service
Song Car & Limousines Services,40.73238082914018,-73.95410299301147,Taxi
Federal Reserve Bank of New York,40.70838097347919,-74.00865375995636,Bank
NYC Dept of Finance,40.70888280564109,-74.00772687604,Government Building
Amazing New York Limo Service,40.72346878051758,-74.00883483886719,Rental Car Location
SkyHome,40.717994207719876,-73.98499037854945,Airport Lounge
Dumbo Car Service,40.703317,-73.987829,Airport Tram
In an Uber,40.73304415220359,-74.00004457177805,Taxi
Park Slope Car Service,40.6773241,-73.98518779999999,Taxi
Blink Travel,40.729056,-73.993305,Airport Service
Emigrate Canada,40.73086864241804,-73.99272680282593,Airport Service
Airport Shuttle to JFK,40.72683,-73.98664,Taxi
Dollar Rent A Car,40.736675939139,-73.97987865343966,Rental Car Location
Hollywood Car and Limo,40.695234200000016,-73.99037755449217,Airport Tram
One World Observatory,40.712819,-74.013274,Scenic Lookout
King And Queen Limo INC,40.70551,-74.00633,Transportation Service
Brooklyn Radio Dispatcher,40.714892,-73.959682,Transportation Service
New York Passport Agency,40.72850687578294,-74.00692748733293,Government Building
SempeRide,40.7042,-74.01106,Airport Tram
Gotham Limousine,40.740154,-73.986968,Airport Tram
Silvercup Limousine Inc,40.689687,-73.92276,Airport Tram
Zip Aviation,40.70159467918013,-74.0091774518027,Airport
NY Penn Station baggage claim,40.702811833091864,-73.98386667401014,Baggage Claim
New York Skyports Seaplane Base,40.73495887716983,-73.97299073366773,Airport
Apex Coach,40.67192316055298,-73.99888180196285,Airport Tram
Angel Miles Bus Charter and Limo,40.66379165649414,-73.9952163696289,Bus Station
Wag Club,40.69276602768822,-74.00003471860366,Pet Service
Rocco & Jezebel For Pets Grooming & Boarding,40.69797631255361,-73.99224091113379,Pet Store
Happy Paws,40.72531116428828,-73.99515924953168,Pet Store
Petropolis,40.7079952,-74.0143571,Pet Store
Doggy Style NYC,40.73245935362439,-73.99415828029825,Pet Store
PetSmart,40.689093,-73.991318,Pet Store
Posh Pets Grooming & Boarding,40.679402,-73.974436,Pet Store
Carroll Gardens Pet Grooming,40.68276724002077,-73.99051368650817,Pet Service
American Academy of Pet Grooming Inc.,40.739885,-73.981983,Pet Service
Wild Ginger,40.687897607120746,-73.98972962712507,Vegetarian / Vegan Restaurant
sweetgreen,40.702812,-73.9898329,Vegetarian / Vegan Restaurant
LuAnne's Wild Ginger,40.689644,-73.969824,Vegetarian / Vegan Restaurant
Guevara’s,40.688014,-73.962873,Vegetarian / Vegan Restaurant
Le Petit Monstre,40.69634,-73.967704,Vegetarian / Vegan Restaurant
Avant Garden,40.72616113541542,-73.98386607655708,Vegetarian / Vegan Restaurant
Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant
Public Display of Affection,40.67731775009104,-73.98267161349182,Vegetarian / Vegan Restaurant
JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Vegetarian / Vegan Restaurant
Champs Diner,40.70833454520133,-73.94081610648125,Vegetarian / Vegan Restaurant
The V Spot,40.67805723856291,-73.97939186012711,Vegetarian / Vegan Restaurant
by CHLOE.,40.7152143,-73.9593632,Vegetarian / Vegan Restaurant
sweetgreen,40.7056257,-74.0082823,Vegetarian / Vegan Restaurant
The Shanti Shack,40.71689324918532,-73.96237803401777,Vegetarian / Vegan Restaurant
Le Botaniste,40.720544695755194,-74.00013783329237,Vegetarian / Vegan Restaurant
Modern Love Brooklyn,40.709911052953565,-73.95100799464392,Vegetarian / Vegan Restaurant
Dirt Candy,40.717889859794,-73.99101507421003,Vegetarian / Vegan Restaurant
Natural Blend,40.67381852431168,-73.9629234409728,Vegetarian / Vegan Restaurant
Juice Press,40.71478769908051,-74.0111317502157,Vegetarian / Vegan Restaurant
The Butcher’s Daughter,40.714905,-73.95852,Vegetarian / Vegan Restaurant
sweetgreen,40.7157953,-73.9591804,Vegetarian / Vegan Restaurant
Buddha Bodai 佛菩提素菜,40.71379837914967,-73.99867652064822,Vegetarian / Vegan Restaurant
Ladybird,40.72651436911113,-73.98466888002645,Vegetarian / Vegan Restaurant
Spicy Moon,40.72675410362935,-73.98709466079313,Vegetarian / Vegan Restaurant
Bar Velo Brooklyn,40.70709660165953,-73.9543318189448,Vegetarian / Vegan Restaurant
Punjabi Grocery & Deli,40.722418377692485,-73.98694780645458,Vegetarian / Vegan Restaurant
Vegetarian Palate,40.67941920040055,-73.97402363302241,Vegetarian / Vegan Restaurant
by CHLOE.,40.72277,-73.9972,Vegetarian / Vegan Restaurant
Nish Nush,40.709418,-74.008056,Vegetarian / Vegan Restaurant
Divya's Kitchen,40.72350129817862,-73.98830432442786,Vegetarian / Vegan Restaurant
Little Choc Apothecary,40.71195572791476,-73.95733343601323,Vegetarian / Vegan Restaurant
B & H Dairy,40.728357538879855,-73.98790536256817,Vegetarian / Vegan Restaurant
Terms Of Endearment,40.716221,-73.962272,Vegetarian / Vegan Restaurant
Peacefood Café,40.733191059945106,-73.99295917113982,Vegetarian / Vegan Restaurant
Xilonen,40.723491,-73.951925,Vegetarian / Vegan Restaurant
The Butcher's Daughter,40.720592723672716,-73.99490554160472,Vegetarian / Vegan Restaurant
Lekka Burger,40.715246,-74.010559,Vegetarian / Vegan Restaurant
Nish Nūsh,40.71553710116416,-74.00772452925565,Vegetarian / Vegan Restaurant
Superiority Burger,40.72754947104763,-73.9832897923765,Vegetarian / Vegan Restaurant
Magic Mix Juicery,40.709699,-74.006898,Vegetarian / Vegan Restaurant
Hana Food,40.71398958519538,-73.95117126036894,Vegetarian / Vegan Restaurant
Vinnie's Pizzeria,40.718849475608906,-73.95664316449509,Vegetarian / Vegan Restaurant
Wild Ginger Vegetarian Kitchen,40.7204313711967,-73.99663971306008,Vegetarian / Vegan Restaurant
Rawsome Treats,40.720888,-73.988547,Vegetarian / Vegan Restaurant
Erin McKenna's Bakery,40.718001452016765,-73.98975509385077,Vegetarian / Vegan Restaurant
Cinnamon Girl,40.68934307937858,-73.95136671489776,Vegetarian / Vegan Restaurant
Beyond Sushi,40.73280955766724,-73.98600191799638,Vegetarian / Vegan Restaurant
Double Zero,40.72610826388715,-73.98980624666206,Vegetarian / Vegan Restaurant
Dao Palate,40.677872527795216,-73.97301052424018,Vegetarian / Vegan Restaurant
JuiceryKitchen,40.717929780969385,-73.95218873184832,Vegetarian / Vegan Restaurant
